Hiperparametros,epocas,lotes,train_f1,test_f1,train_accuracy,test_accuracy
"{'num_layers': 3, 'capa0_neuronas': 32, 'optimizer': 'adam', 'capa1_neuronas': 64, 'capa2_neuronas': 32}",64,10,0.9812166094779968,0.9687999486923218,0.9812166690826416,0.9688000082969666
"{'num_layers': 3, 'capa0_neuronas': 32, 'optimizer': 'adam', 'capa1_neuronas': 64, 'capa2_neuronas': 64}",64,10,0.9835999608039856,0.9710999131202698,0.9836000204086304,0.9710999727249146
"{'num_layers': 3, 'capa0_neuronas': 32, 'optimizer': 'adam', 'capa1_neuronas': 64, 'capa2_neuronas': 128}",64,10,0.9791832566261292,0.9709999561309814,0.9791833162307739,0.9710000157356262
"{'num_layers': 3, 'capa0_neuronas': 32, 'optimizer': 'adam', 'capa1_neuronas': 128, 'capa2_neuronas': 32}",64,10,0.9807332754135132,0.9719999432563782,0.980733335018158,0.972000002861023
"{'num_layers': 3, 'capa0_neuronas': 32, 'optimizer': 'adam', 'capa1_neuronas': 128, 'capa2_neuronas': 64}",64,10,0.9818499684333801,0.9725999236106873,0.9818500280380249,0.972599983215332
"{'num_layers': 3, 'capa0_neuronas': 32, 'optimizer': 'adam', 'capa1_neuronas': 128, 'capa2_neuronas': 128}",64,10,0.9866499304771423,0.9737999439239502,0.9866499900817871,0.973800003528595
"{'num_layers': 3, 'capa0_neuronas': 32, 'optimizer': 'sgd', 'capa1_neuronas': 32, 'capa2_neuronas': 32}",64,10,0.9433165788650513,0.9418999552726746,0.943316638469696,0.9419000148773193
"{'num_layers': 3, 'capa0_neuronas': 32, 'optimizer': 'sgd', 'capa1_neuronas': 32, 'capa2_neuronas': 64}",64,10,0.9421999454498291,0.9436999559402466,0.9422000050544739,0.9437000155448914
"{'num_layers': 3, 'capa0_neuronas': 32, 'optimizer': 'sgd', 'capa1_neuronas': 32, 'capa2_neuronas': 128}",64,10,0.9451999664306641,0.9446999430656433,0.9452000260353088,0.9447000026702881
"{'num_layers': 3, 'capa0_neuronas': 32, 'optimizer': 'sgd', 'capa1_neuronas': 64, 'capa2_neuronas': 32}",64,10,0.9450499415397644,0.9465999603271484,0.9450500011444092,0.9466000199317932
"{'num_layers': 3, 'capa0_neuronas': 32, 'optimizer': 'sgd', 'capa1_neuronas': 64, 'capa2_neuronas': 64}",64,10,0.9489333033561707,0.9496999382972717,0.9489333629608154,0.9496999979019165
"{'num_layers': 3, 'capa0_neuronas': 32, 'optimizer': 'sgd', 'capa1_neuronas': 64, 'capa2_neuronas': 128}",64,10,0.9458832740783691,0.9434999227523804,0.9458833336830139,0.9434999823570251
"{'num_layers': 3, 'capa0_neuronas': 32, 'optimizer': 'sgd', 'capa1_neuronas': 128, 'capa2_neuronas': 32}",64,10,0.9494499564170837,0.947399914264679,0.9494500160217285,0.9473999738693237
"{'num_layers': 3, 'capa0_neuronas': 32, 'optimizer': 'sgd', 'capa1_neuronas': 128, 'capa2_neuronas': 64}",64,10,0.9460166096687317,0.9459999203681946,0.9460166692733765,0.9459999799728394
"{'num_layers': 3, 'capa0_neuronas': 32, 'optimizer': 'sgd', 'capa1_neuronas': 128, 'capa2_neuronas': 128}",64,10,0.947066605091095,0.947700023651123,0.9470666646957397,0.947700023651123
"{'num_layers': 3, 'capa0_neuronas': 64, 'optimizer': 'adam', 'capa1_neuronas': 32, 'capa2_neuronas': 32}",64,10,0.9827832579612732,0.9755999445915222,0.982783317565918,0.975600004196167
"{'num_layers': 3, 'capa0_neuronas': 64, 'optimizer': 'adam', 'capa1_neuronas': 32, 'capa2_neuronas': 64}",64,10,0.9845832586288452,0.9720999598503113,0.98458331823349,0.972100019454956
"{'num_layers': 3, 'capa0_neuronas': 64, 'optimizer': 'adam', 'capa1_neuronas': 32, 'capa2_neuronas': 128}",64,10,0.9880833029747009,0.9740999341011047,0.9880833625793457,0.9740999937057495
"{'num_layers': 3, 'capa0_neuronas': 64, 'optimizer': 'adam', 'capa1_neuronas': 64, 'capa2_neuronas': 32}",64,10,0.9824332594871521,0.9737999439239502,0.9824333190917969,0.973800003528595
"{'num_layers': 3, 'capa0_neuronas': 64, 'optimizer': 'adam', 'capa1_neuronas': 64, 'capa2_neuronas': 64}",64,10,0.9900665879249573,0.9761999249458313,0.990066647529602,0.9761999845504761
"{'num_layers': 3, 'capa0_neuronas': 64, 'optimizer': 'adam', 'capa1_neuronas': 64, 'capa2_neuronas': 128}",64,10,0.9900499582290649,0.9746999144554138,0.9900500178337097,0.9746999740600586
"{'num_layers': 3, 'capa0_neuronas': 64, 'optimizer': 'adam', 'capa1_neuronas': 128, 'capa2_neuronas': 32}",64,10,0.9885832667350769,0.9762999415397644,0.9885833263397217,0.9763000011444092
"{'num_layers': 3, 'capa0_neuronas': 64, 'optimizer': 'adam', 'capa1_neuronas': 128, 'capa2_neuronas': 64}",64,10,0.9858165979385376,0.9758999347686768,0.9858166575431824,0.9758999943733215
"{'num_layers': 3, 'capa0_neuronas': 64, 'optimizer': 'adam', 'capa1_neuronas': 128, 'capa2_neuronas': 128}",64,10,0.9911999106407166,0.9762999415397644,0.9911999702453613,0.9763000011444092
"{'num_layers': 3, 'capa0_neuronas': 64, 'optimizer': 'sgd', 'capa1_neuronas': 32, 'capa2_neuronas': 32}",64,10,0.9535333514213562,0.9526999592781067,0.9535333514213562,0.9527000188827515
"{'num_layers': 3, 'capa0_neuronas': 64, 'optimizer': 'sgd', 'capa1_neuronas': 32, 'capa2_neuronas': 64}",64,10,0.9548666477203369,0.9528999328613281,0.9548666477203369,0.9528999924659729
"{'num_layers': 3, 'capa0_neuronas': 64, 'optimizer': 'sgd', 'capa1_neuronas': 32, 'capa2_neuronas': 128}",64,10,0.9517999887466431,0.9490999579429626,0.9517999887466431,0.9491000175476074
"{'num_layers': 3, 'capa0_neuronas': 64, 'optimizer': 'sgd', 'capa1_neuronas': 64, 'capa2_neuronas': 32}",64,10,0.9525666236877441,0.9510999321937561,0.9525666832923889,0.9510999917984009
"{'num_layers': 3, 'capa0_neuronas': 64, 'optimizer': 'sgd', 'capa1_neuronas': 64, 'capa2_neuronas': 64}",64,10,0.9515499472618103,0.9512999653816223,0.9515500068664551,0.9513000249862671
"{'num_layers': 3, 'capa0_neuronas': 64, 'optimizer': 'sgd', 'capa1_neuronas': 64, 'capa2_neuronas': 128}",64,10,0.952549934387207,0.9521999359130859,0.9525499939918518,0.9521999955177307
"{'num_layers': 3, 'capa0_neuronas': 64, 'optimizer': 'sgd', 'capa1_neuronas': 128, 'capa2_neuronas': 32}",64,10,0.9536499381065369,0.9546999335289001,0.9536499977111816,0.9546999931335449
"{'num_layers': 3, 'capa0_neuronas': 64, 'optimizer': 'sgd', 'capa1_neuronas': 128, 'capa2_neuronas': 64}",64,10,0.9540499448776245,0.9528999328613281,0.9540500044822693,0.9528999924659729
"{'num_layers': 3, 'capa0_neuronas': 64, 'optimizer': 'sgd', 'capa1_neuronas': 128, 'capa2_neuronas': 128}",64,10,0.9524332880973816,0.9535999298095703,0.9524333477020264,0.9535999894142151
